Date,Time,Precip,SWC,Stemp,Evapo,AirTemp,Solar
12/9/2010,17:00,0,0.144,41.34,0.022,8.25,0.013
12/9/2010,18:00,0,0.147,39.4,0.021,6.695,0.003
12/9/2010,19:00,0,0.146,35.5,0.032,8.03,0
12/9/2010,20:00,0,0.146,32.71,0.027,7.061,0
12/9/2010,21:00,0,0.147,30.54,0.028,6.926,0
12/9/2010,22:00,0,0.146,28.62,0.036,7.252,0
12/9/2010,23:00,0,0.146,27.16,0.034,5.603,0
12/10/2010,0:00,0,0.146,25.95,0.039,5.914,0
12/10/2010,1:00,0,0.146,25,0.03,5.021,0
12/10/2010,2:00,0,0.146,24.06,0.027,4.856,0
12/10/2010,3:00,0,0.147,23.18,0.02,5.001,0
12/10/2010,4:00,0,0.15,22.29,0.012,4.524,0
12/10/2010,5:00,0,0.151,21.51,0.014,4.412,0
12/10/2010,6:00,0,0.151,20.87,0.015,4.025,0
12/10/2010,7:00,0,0.15,20.36,0.017,3.32,0
12/10/2010,8:00,0,0.149,19.95,0.022,2.665,0.023
12/10/2010,9:00,0,0.144,19.65,0.065,6.155,0.161
12/10/2010,10:00,0,0.139,19.52,0.195,10.72,0.329
12/10/2010,11:00,0,0.136,19.63,0.317,13.06,0.44
12/10/2010,12:00,0,0.136,2.017,0.118,13.48,0.499
12/10/2010,13:00,0,0.135,3.153,0.36,13.79,0.522
12/10/2010,14:00,0,0.136,4.723,0.31,13.81,0.404
12/10/2010,15:00,0,0.139,5.842,0.216,12.53,0.235
12/10/2010,16:00,0,0.14,6.348,0.159,11.83,0.175
12/10/2010,17:00,0,0.142,6.419,0.069,10.5,0.075
12/10/2010,18:00,0,0.146,6.068,0.007,6.892,0.002
12/10/2010,19:00,0,0.149,5.34,0.007,4.881,0
12/10/2010,20:00,0,0.149,4.554,0.008,4.489,0
12/10/2010,21:00,0,0.148,3.883,0.01,5.163,0
12/10/2010,22:00,0,0.146,3.352,0.022,7.133,0
12/10/2010,23:00,0,0.146,3.014,0.014,6.334,0
12/11/2010,0:00,0,0.147,2.708,0.009,5.291,0
12/11/2010,1:00,0,0.146,2.398,0.021,6.315,0
12/11/2010,2:00,0,0.145,2.22,0.022,6.146,0
12/11/2010,3:00,0,0.146,2.089,0.012,4.212,0
12/11/2010,4:00,0,0.147,1.874,0.012,4.36,0
12/11/2010,5:00,0,0.146,1.646,0.015,4.384,0
12/11/2010,6:00,0,0.147,1.468,0.009,3.603,0
12/11/2010,7:00,0,0.145,1.31,0.025,5.268,0
12/11/2010,8:00,0,0.146,1.253,0.014,4.408,0.017
12/11/2010,9:00,0,0.143,1.183,0.075,6.437,0.162
12/11/2010,10:00,0,0.139,1.333,0.178,8.68,0.327
12/11/2010,11:00,0,0.137,1.881,0.261,9.88,0.461
12/11/2010,12:00,0,0.135,2.991,0.323,11.43,0.551
12/11/2010,13:00,0,0.134,4.599,0.333,11.83,0.575
12/11/2010,14:00,0,0.135,6.19,0.308,11.97,0.532
12/11/2010,15:00,0,0.136,7.349,0.255,12.19,0.432
12/11/2010,16:00,0,0.138,7.92,0.161,11.36,0.283
12/11/2010,17:00,0,0.143,7.925,0.038,9.46,0.084
12/11/2010,18:00,0,0.147,7.432,-0.012,5.783,0.002
12/11/2010,19:00,0,0.15,6.572,-0.009,4.726,0
12/11/2010,20:00,0,0.15,5.716,-0.006,3.805,0
12/11/2010,21:00,0,0.15,4.958,-0.013,2.487,0
12/11/2010,22:00,0,0.151,4.249,-0.01,1.2,0
12/11/2010,23:00,0,0.152,3.561,-0.012,1.24,0
12/12/2010,0:00,0,0.152,2.945,-0.016,1.044,0
12/12/2010,1:00,0,0.151,2.452,-0.009,1.18,0
12/12/2010,2:00,0,0.152,2.07,-0.015,-0.127,0
12/12/2010,3:00,0,0.151,1.755,-0.016,0.551,0
12/12/2010,4:00,0,0.151,1.49,-0.009,0.763,0
12/12/2010,5:00,0,0.151,1.269,-0.014,-0.685,0
12/12/2010,6:00,0,0.151,1.081,-0.015,0.234,0
12/12/2010,7:00,0,0.15,0.912,-0.016,0.214,0
12/12/2010,8:00,0,0.15,0.765,-0.015,1.395,0.016
12/12/2010,9:00,0,0.145,0.641,0.028,4.781,0.141
